smiles,target,value,units,pValue,assay_type,active,has_stereo
Fc1cc(F)cc(-n2cnc3c(NCc4nc5c(F)c(F)ccc5[nH]4)nc(N4CCOCC4)nc32)c1,CYP2C19,-48.0,%,,Inhibition,0,False
Fc1ccc(F)c(-n2cnc3c(NCc4nc5c(F)c(F)ccc5[nH]4)nc(N4CCOCC4)nc32)c1,CYP2C19,-41.0,%,,Inhibition,0,False
CC(c1ccc(OC(F)(F)F)cc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,CYP2C19,-40.0,%,,Inhibition,0,False
COc1cccc(CN(CCN2CCOCC2)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,CYP2C19,-37.0,%,,Inhibition,0,False
COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,CYP2C19,-29.0,%,,Inhibition,0,False
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(OCc3ccc(F)cc3)c(C(F)(F)F)c2)cc1F,CYP2C19,-26.0,%,,Inhibition,0,True
Cl.O=C(Nc1ccncc1)[C@H](Cc1c[nH]c2ccccc12)NCc1ccccc1F,CYP2C19,-26.0,%,,Inhibition,0,True
CCN1Cc2ccccc2C[C@@H]1C(=O)Nc1cc(F)c(-c2cn[nH]c2)cc1OCCN(C)C,CYP2C19,-24.0,%,,Inhibition,0,True
O=c1[nH]c2cc(Cl)ccc2n1C1CCN(Cc2ccccc2Cl)CC1,CYP2C19,-23.0,%,,Inhibition,0,False
COc1cccc(CN(CCO)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,CYP2C19,-23.0,%,,Inhibition,0,False
COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccccc2OC)c(OC)c1,CYP2C19,-22.0,%,,Inhibition,0,False
COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(-c3cn[nH]c3)cn2)c1,CYP2C19,-21.0,%,,Inhibition,0,False
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(F)c(F)c2)cc1F,CYP2C19,-21.0,%,,Inhibition,0,True
CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,CYP2C19,-20.0,%,,Inhibition,0,False
Cc1c[nH]c2ncnc(-c3ccc(NC(=O)N(CCO)c4cccc(Cl)c4)cc3)c12,CYP2C19,-19.0,%,,Inhibition,0,False
Nc1ccc(-c2cc(=O)c3ccc4ccccc4c3o2)cc1,CYP2C19,-16.3,%,,Activity,0,False
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(C(F)(F)F)c2)cc1F,CYP2C19,-16.0,%,,Inhibition,0,True
Cc1c[nH]c2ncnc(-c3ccc(NC(=O)N(CCO)c4ccccc4)cc3)c12,CYP2C19,-16.0,%,,Inhibition,0,False
Cc1cc(-n2ccnc2)cnc1-c1ccc(-c2nnn[nH]2)cc1F,CYP2C19,-15.0,%,,Inhibition,0,False
COc1cccc(CNC(=O)c2[nH]c3nc(-c4cn[nH]c4)ccc3c2CN2CCN(C)CC2)c1,CYP2C19,-15.0,%,,Inhibition,0,False
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(Cl)cc3Cl)CC2)cc1F,CYP2C19,-14.0,%,,Inhibition,0,True
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(OCc3ccc(F)cc3)c(F)c2)cc1F,CYP2C19,-14.0,%,,Inhibition,0,True
[N-]=[N+]=Nc1ccc(-c2cc(=O)c3ccc4ccccc4c3o2)cc1,CYP2C19,-13.6,%,,Activity,0,False
NC(=S)N/N=C/C(O)C(O)C(O)CO,CYP2C19,-13.17,%,,Inhibition,0,False
CC(=O)N1CCN(c2ccc(C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)CC1,CYP2C19,-13.0,%,,Inhibition,0,True
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,CYP2C19,-12.4,%,,Inhibition,0,True
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C1CC1,CYP2C19,-12.0,%,,Inhibition,0,True
Cc1nn(C)c2nc(N(C)CCN(C)C)c(C(=O)NC(=O)Nc3cccc(OC(C)C)c3)cc12.Cl,CYP2C19,-12.0,%,,Inhibition,0,False
CCNC(=O)N1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,CYP2C19,-12.0,%,,Inhibition,0,False
CCN(CC)CCNC(=O)c1cccc(-n2cc(NC(=O)Nc3ccccc3Cl)cn2)c1,CYP2C19,-12.0,%,,Inhibition,0,False
Cc1c[nH]c2ncnc(-c3ccc(NC(=O)N(CCO)c4ccc(Cl)cc4)cc3)c12,CYP2C19,-12.0,%,,Inhibition,0,False
Cc1cc(C(N)=O)ccc1-n1c(CCC(=O)O)ccc1-c1cc(-n2ccnc2C)cs1,CYP2C19,-11.0,%,,Inhibition,0,False
Cc1ccc(Cl)cc1N1CCN(c2ccc(C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)CC1,CYP2C19,-11.0,%,,Inhibition,0,True
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3cc(Cl)cc(Cl)c3)CC2)cc1F,CYP2C19,-11.0,%,,Inhibition,0,True
O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CYP2C19,-10.1,%,,Activity,0,False
N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,CYP2C19,-10.0,%,,Inhibition,0,False
O=c1[nH]c2cc(Cl)c(Cl)cc2n1C1CCN(Cc2ccc(Br)cc2F)CC1,CYP2C19,-10.0,%,,Inhibition,0,False
COc1ccc(/C=N/NC(N)=S)cc1OC,CYP2C19,-9.14,%,,Inhibition,0,False
