smiles,Ki_nM,pKi,target
COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,33.0,7.481486060122112,DAT
CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C([C@@H](O)c2ccc(Cl)c(Cl)c2)C1,4140.0,5.3829996588791005,DAT
CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C(C(=O)c2ccc(Cl)c(Cl)c2)C1,10.9,7.962573502059376,DAT
Cc1ccc(C2OC(=O)OC3(c4ccc(C)cc4)CCN(C)CC23)cc1,8190.0,5.086716098239581,DAT
Cc1ccc([C@H](O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,10650.0,4.972650392225243,DAT
CN1CCC(O)(c2ccc(F)cc2)C(C(=O)c2ccc(F)cc2)C1,5700.0,5.2441251443275085,DAT
CN1CCC(O)(c2ccc(Cl)cc2Cl)C([C@@H](O)c2ccc(Cl)cc2Cl)C1,4350.0,5.361510743045363,DAT
CN1CCC(O)(c2ccc(Cl)cc2Cl)C(C(=O)c2ccc(Cl)cc2Cl)C1,3650.0,5.437707135543525,DAT
COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,0.48,9.318758762624412,DAT
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,3.47,8.459670525209127,DAT
CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,1423.0,5.846795099915716,DAT
CNCCC(Oc1ccccc1OC)c1ccccc1,30.0,7.522878745280337,DAT
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,60.0,7.221848749616356,DAT
CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1N,2038.0,5.690795820329592,DAT
COc1ccc(Sc2ccccc2CN(C)C)c(N)c1,2651.0,5.576590272266907,DAT
CN(C)Cc1ccccc1Sc1ccc(Cl)cc1N,115.0,6.939302159646388,DAT
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C/I)cc1)N2,1.88,8.72584215073632,DAT
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2,0.12,9.920818753952375,DAT
CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,0.88,9.05551732784983,DAT
c1ccc(CC(c2ccccc2)c2ccncc2)cc1,99.0,7.00436480540245,DAT
c1ccc(C(c2ccccc2)c2ccccn2)cc1,742.0,6.1295960947209736,DAT
c1cncc(-c2c3ccccc3cc3ccccc23)c1,10000.0,5.0,DAT
COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,970.0,6.013228265733755,DAT
Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,2.55,8.593459819566045,DAT
CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,30.0,7.522878745280337,DAT
OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,23.1,7.636388020107855,DAT
OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,45.0,7.346787486224656,DAT
COC(=O)C1C(c2ccc(C(C)=O)c(C(C)=O)c2)CC2CCC1N2C,10000.0,5.0,DAT
Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,87.1,7.059981844992337,DAT
COC(=O)C1=C(c2ccc(C(C)=O)c(C(C)=O)c2)CC2CCC1N2C,10000.0,5.0,DAT
COC(=O)C1=C(c2ccc(O)c(O)c2)CC2CCC1N2C,10000.0,5.0,DAT
COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1,2.9,8.537602002101044,DAT
Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,100.0,7.0,DAT
COc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,36.2,7.441291429466834,DAT
OC1(c2ccccc2)c2ccccc2C2=NCCN21,1070.0,5.97061622231479,DAT
c1ccc(CN2CCC(NCCOC(c3ccccc3)c3ccccc3)CC2)cc1,83.0,7.080921907623926,DAT
c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,18.0,7.7447274948966935,DAT
OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,1.7,8.769551078621726,DAT
OC1(c2ccc(Cl)cc2)c2cc(Cl)c(Cl)cc2C2=NCCN21,1.05,8.978810700930062,DAT
COC(=O)C1C(c2ccc(OC)c(OC)c2)CC2CCC1N2C,1536.0,5.813608784304507,DAT
c1ccc(CCCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,70.0,7.154901959985743,DAT
COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,6.0,8.221848749616356,DAT
Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,87.0,7.060480747381382,DAT
CN(CCc1ccc(F)cc1)CC1CCCN(CCOC(c2ccccc2)c2ccccc2)C1,90.0,7.045757490560675,DAT
COc1cccc2c1C(O)(c1ccc(Cl)cc1)N1CCN=C21,10.3,7.987162775294828,DAT
Clc1ccc(C2c3ccccc3C3=NCCN32)cc1,23.0,7.638272163982407,DAT
OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=NCCCN21,2.01,8.69680394257951,DAT
OC1(c2ccc3ccccc3c2)c2ccc3ccccc3c2C2=NCCN21,2.83,8.54821356447571,DAT
OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=NCCN21,27.2,7.565431095965801,DAT
OC1(c2ccc(Cl)cc2)c2ccccc2C2=N[C@H]3CCCC[C@@H]3N21,152.0,6.818156412055227,DAT
OC1(c2ccc3ccccc3c2)c2ccccc2C2=NCCN21,45.0,7.346787486224656,DAT
Fc1ccc(C(OCCC2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,0.45,9.346787486224656,DAT
CN1C2CCC1C(C(=O)Oc1ccccc1)C(c1ccc(Cl)cc1)C2,5.25,8.279840696594043,DAT
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,16540.0,4.781464494783473,DAT
CN(CCCc1ccccc1)CCCN(C)CCOC(c1ccccc1)c1ccccc1,122.0,6.913640169325252,DAT
COC(=O)C1C(c2ccc(/C=C\Br)cc2)CC2CCC1N2C,3.1,8.508638306165727,DAT
COC(=O)C1C2CCC(CC1c1ccc(/C=C\I)cc1)N2,3.5,8.455931955649724,DAT
O=C(Cc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,54.0,7.267606240177031,DAT
O=C(CCc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,51.0,7.292429823902063,DAT
COC(=O)C1C(c2ccc(/C=C\I)cc2)CC2CCC1N2C,22.0,7.657577319177793,DAT
CN(CCOC(c1ccc(F)cc1)c1ccc(F)cc1)CCN(C)CCOC(c1ccc(F)cc1)c1ccc(F)cc1,26.0,7.585026652029182,DAT
O=C(Cc1ccc(F)cc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,54.0,7.267606240177031,DAT
COC(=O)C1C2CCC(CC1c1ccc(I)cc1)N2,0.69,9.161150909262744,DAT
COC(=O)C1C2CCC(CC1c1ccc(C=C(Br)Br)cc1)N2,5.6,8.2518119729938,DAT
C[C@H]1CC[C@H](C)N1CCCOc1ccc(-c2ccc(C(=O)N3CCOCC3)cc2)cc1,4897.79,5.309999839831226,DAT
COC(=O)C1C(c2ccc(C=C(Br)Br)cc2)CC2CCC1N2C,6.73,8.171984935776024,DAT
COC(=O)C1C2CCC(CC1c1ccc(/C=C\Br)cc1)N2,3.9,8.4089353929735,DAT
CN1C2CCC1C(C(=O)NCCCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,18.4,7.735182176990463,DAT
CN1C2CCC1C(C(=O)NCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,21.7,7.66354026615147,DAT
CN1C2CCC1C(C(=O)NCCCCCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,6.7,8.173925197299173,DAT
CN1C2CCC1C(C(=O)NCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,65.1,7.186419011431808,DAT
COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,1.1,8.958607314841775,DAT
CNCC[C@H](Oc1cccc2c(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(OC)ccc12)c1cccs1,10000.0,5.0,DAT
COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1/C(=C/c1ccc(OC)cc1)CN23,3600.0,5.443697499232712,DAT
COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1/C(=C/c1ccc(Cl)c(Cl)c1)CN23,3320.0,5.478861916295964,DAT
COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1/C(=C/c1ccccc1)CN23,1570.0,5.804100347590767,DAT
COC(=O)C1C(c2cccc(-c3ccco3)c2)CC2CCC1N2C,54.0,7.267606240177031,DAT
COC(=O)C1C2CCC(CC1c1cccc(I)c1)N2,438.0,6.3585258894959,DAT
COC(=O)C1C(c2cccc(-c3ccccc3)c2)CC2CCC1N2C,8.83,8.054039296422431,DAT
COC(=O)C1C(c2cccc(-c3ccsc3)c2)CC2CCC1N2C,29.8,7.525783735923745,DAT
COC(=O)C1C(c2cccc(I)c2)CC2CCC1N2C,182.0,6.739928612014925,DAT
CC(C)OC(=O)C1C2CCC(C[C@@H]1c1ccc(Cl)cc1)CN2C,0.9,9.045757490560675,DAT
C[C@H](CF)OC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,3.2,8.494850021680094,DAT
C[C@@H](CF)OC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,0.67,9.173925197299173,DAT
COC(=O)C1C2CCC(C[C@@H]1c1ccc(I)cc1)CN2C,0.48,9.318758762624412,DAT
CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2cc(F)ccc2c1,50.0,7.301029995663981,DAT
CNCC1C2CCC(C2)C1c1ccc2ccccc2c1,25.0,7.6020599913279625,DAT
CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2cc(O)ccc2c1,6.0,8.221848749616356,DAT
CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2cc(F)ccc2c1,72.0,7.142667503568731,DAT
COc1ccc2cc([C@H]3C4CCC(C4)[C@@H]3CN(C)C)ccc2c1,64.0,7.1938200260161125,DAT
CN(C)C[C@H]1C2CCC(CC2)[C@@H]1c1cccc(Cl)c1,64.0,7.1938200260161125,DAT
CN(C)C[C@@H]1C2CCC(CC2)[C@@H]1c1ccc(Cl)c(Cl)c1,7.2,8.142667503568731,DAT
CN(C)C[C@@H]1C2CCC(C2)[C@H]1c1ccc2ccccc2c1,38.0,7.42021640338319,DAT
CN(C)CC1C2CCC(C2)C1c1cccc2ccccc12,430.0,6.366531544420413,DAT
CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2cc(OC)ccc2c1,60.0,7.221848749616356,DAT
CN(C)CC1C2CCC(C2)C1c1ccc2ccccc2c1,18.0,7.7447274948966935,DAT
CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,41.0,7.3872161432802645,DAT
