smiles,target,value,units,pValue,assay_type,active,has_stereo
COc1ccc2oc(-c3csc4ccccc34)c(OC(C)=O)c(=O)c2c1,CYP2C9,-229.45,%,,Inhibition,0,False
O=C(CCCCN1CCCCC1)Nc1cc(-c2ccco2)n[nH]1,CYP2C9,-33.0,%,,Inhibition,0,False
N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,CYP2C9,-33.0,%,,Inhibition,0,False
O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(F)cc2)n[nH]1,CYP2C9,-33.0,%,,Inhibition,0,False
COc1cccc(/C=C/C(=O)c2cc(OC)ccc2O)c1,CYP2C9,-31.7,%,,Inhibition,0,False
CC(c1ccc2c(c1)OCO2)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,CYP2C9,-30.0,%,,Inhibition,0,False
COc1ccc(-c2cc(NC(=O)CCCCN3CCNC(=O)CC3)[nH]n2)cc1,CYP2C9,-28.0,%,,Inhibition,0,False
COc1ccc(O)c(C(=O)/C=C/c2ccc(OC)c(OC)c2)c1,CYP2C9,-26.9,%,,Inhibition,0,False
COc1cccc(CNC(=O)c2[nH]c3nc(-c4cn[nH]c4)ccc3c2CN2CCN(C)CC2)c1,CYP2C9,-26.0,%,,Inhibition,0,False
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,CYP2C9,-26.0,%,,Inhibition,0,True
COc1ccc(C(=O)/C=C/c2c(OC)cccc2OC)c(O)c1,CYP2C9,-25.6,%,,Inhibition,0,False
COc1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1,CYP2C9,-25.0,%,,Inhibition,0,False
O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(Br)cc2)n[nH]1,CYP2C9,-25.0,%,,Inhibition,0,False
Cc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,CYP2C9,-25.0,%,,Inhibition,0,False
COc1ccc(-c2cc(NC(=O)CCCCN3CCOCC3)[nH]n2)cc1,CYP2C9,-24.0,%,,Inhibition,0,False
Cc1[nH]c2ncnc(-c3ccc(NC(=O)N(CCN(C)C)c4ccc(Cl)cc4)c(F)c3)c2c1C,CYP2C9,-23.0,%,,Inhibition,0,False
CC(=O)NC(C)c1ccc(OCc2c(F)cc(Oc3cccc(OCC4CC4)c3)cc2F)cc1,CYP2C9,-22.7,%,,Inhibition,0,False
O=c1c(O)c(-c2cccc(-c3ccc(O)c(O)c3)c2)oc2ccc(O)cc12,CYP2C9,-22.64,%,,Inhibition,0,False
COc1ccc(-c2cc(NC(=O)CCCCN3CCNC(=O)C3)[nH]n2)cc1,CYP2C9,-22.0,%,,Inhibition,0,False
Cc1cc(-c2ccc(CNC(=O)c3ccc4c(c3)[nH]c3ccccc34)cc2)ccn1,CYP2C9,-22.0,%,,Inhibition,0,False
NC(=S)N/N=C/c1ccc(O)cc1,CYP2C9,-21.07,%,,Inhibition,0,False
N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1cc2c(cc1Br)OCO2,CYP2C9,-20.3,%,,Inhibition,0,True
COc1ccccc1/C=N/NC(N)=S,CYP2C9,-19.77,%,,Inhibition,0,False
NC(=S)N/N=C/C(O)C(O)C(O)CO,CYP2C9,-19.72,%,,Inhibition,0,False
COc1ccc(/C=N/NC(N)=S)cc1OC,CYP2C9,-19.16,%,,Inhibition,0,False
COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCN(C3CCN(C)CC3)CC2)c(C)c1,CYP2C9,-19.0,%,,Inhibition,0,False
CN1CCC(NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)CC1,CYP2C9,-19.0,%,,Inhibition,0,False
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CYP2C9,-18.8,%,,Inhibition,0,False
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)nc2)cc1,CYP2C9,-18.0,%,,Inhibition,0,False
CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1,CYP2C9,-18.0,%,,Inhibition,0,False
CCc1ccc2nc(N3CCC(N[C@@H]4CCCOC4)CC3)c(-c3nc(C)no3)cc2c1,CYP2C9,-18.0,%,,Inhibition,0,True
COc1ccc(-c2cc(NC(=O)CCCCN3CCCOCC3)[nH]n2)cc1,CYP2C9,-18.0,%,,Inhibition,0,False
Nc1ccc(S(N)(=O)=O)cc1,CYP2C9,-17.8,%,,Inhibition,0,False
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,CYP2C9,-17.1,%,,Inhibition,0,False
