smiles,target,value,units,pValue,assay_type,active,has_stereo
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,CYP2D6,-58.0,%,,Inhibition,0,True
NC(=S)N/N=C/C(O)C(O)C(O)CO,CYP2D6,-54.54,%,,Inhibition,0,False
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C1CC1,CYP2D6,-45.0,%,,Inhibition,0,True
NC(=S)N/N=C/c1ccco1,CYP2D6,-43.07,%,,Inhibition,0,False
CCc1ccc2nc(N3CCC(NCC4(C)COC4)CC3)c(-c3nc(C)no3)cc2c1,CYP2D6,-40.0,%,,Inhibition,0,False
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C(C)(C)C,CYP2D6,-35.0,%,,Inhibition,0,True
N#CCc1ccc(Nc2ncnc3ccc(-c4cncc5ccccc45)cc23)cc1,CYP2D6,-35.0,%,,Inhibition,0,False
CC(c1ccc(OC(F)(F)F)cc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,CYP2D6,-34.0,%,,Inhibition,0,False
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C(C)C,CYP2D6,-33.0,%,,Inhibition,0,True
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C1CCOCC1,CYP2D6,-31.0,%,,Inhibition,0,True
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C4CCCC4)c3n2)CC1,CYP2D6,-30.0,%,,Inhibition,0,True
O=C(Nc1cnn(-c2csc(C(=O)NC3CC3)c2)c1)Nc1ccccc1Cl,CYP2D6,-29.0,%,,Inhibition,0,False
Cc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)c2)cc(C)n1,CYP2D6,-25.0,%,,Inhibition,0,False
COc1cc(O)c(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1OC,CYP2D6,-24.9,%,,Inhibition,0,False
C/C(=N\NC(N)=S)c1ccc(O)cc1,CYP2D6,-24.49,%,,Inhibition,0,False
CCOC1=CS(=O)(=O)c2cc3c(Nc4ccc5scnc5c4)ncnc3cc21,CYP2D6,-23.16,%,,Inhibition,0,False
COc1cc(/C=N/NC(N)=S)cc(OC)c1OC,CYP2D6,-21.02,%,,Inhibition,0,False
O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(OC[C@H](O)CO)cc21,CYP2D6,-21.0,%,,Inhibition,0,True
COc1ccc(/C=N/NC(N)=S)cc1OC,CYP2D6,-20.53,%,,Inhibition,0,False
CCNC(=O)N1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,CYP2D6,-20.0,%,,Inhibition,0,False
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C(C)(C)O,CYP2D6,-19.0,%,,Inhibition,0,True
NC(=S)N/N=C/c1ccccc1O,CYP2D6,-18.94,%,,Inhibition,0,False
COCC(c1ccc(F)c(Cl)c1)C1CCNCC1.Cl,CYP2D6,-18.0,%,,Inhibition,0,False
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(OCc3ccc(F)cc3)c(C(F)(F)F)c2)cc1F,CYP2D6,-17.0,%,,Inhibition,0,True
N/C(S)=N/N=C/c1ccc([N+](=O)[O-])cc1,CYP2D6,-16.86,%,,Inhibition,0,False
O=c1[nH]c2cc(Cl)c(Cl)cc2n1C1CCN(Cc2ccc(Br)cc2F)CC1,CYP2D6,-16.0,%,,Inhibition,0,False
O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CYP2D6,-16.0,%,,Inhibition,0,False
O=C(NCC(F)(F)F)c1cc(-c2cnc3[nH]c(-c4ccc(F)cc4)cc3c2)cs1,CYP2D6,-16.0,%,,Inhibition,0,False
CC1=C(C)S(=O)(=O)c2cc3c(Nc4ccc5scnc5c4)ncnc3cc21,CYP2D6,-15.72,%,,Inhibition,0,False
COc1ccc2oc(-c3ccc4ncccc4c3)c(O)c(=O)c2c1,CYP2D6,-15.05,%,,Inhibition,0,False
O=C(Nc1cnn(-c2csc(C(=O)NC3COC3)c2)c1)Nc1ccccc1Cl,CYP2D6,-15.0,%,,Inhibition,0,False
N/C(S)=N/N=C/c1cccc(Br)c1,CYP2D6,-14.36,%,,Inhibition,0,False
O=S1(=O)C=C(C2CC2)c2cc3ncnc(Nc4ccc5scnc5c4)c3cc21,CYP2D6,-13.58,%,,Inhibition,0,False
C/C(=N\NC(N)=S)c1ccc(N)cc1,CYP2D6,-13.1,%,,Inhibition,0,False
Cc1cccc(CNc2nc(N3CCOCC3)nc3c2ncn3-c2cccc(F)c2)n1,CYP2D6,-12.0,%,,Inhibition,0,False
COc1cc(F)cc(C(=O)c2cc(C)c(Oc3ccc4c(O)c(C(=O)NCC(=O)O)nc(OC)c4c3)c(C)c2)c1,CYP2D6,-11.34,%,,Inhibition,0,False
COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccccc2OC)c(OC)c1,CYP2D6,-11.0,%,,Inhibition,0,False
NC(=S)N/N=C/c1ccc(O)c(O)c1,CYP2D6,-9.48,%,,Inhibition,0,False
COc1ccc(-c2n[nH]c(NC(=O)CCCCN3CCCN(C(C)=O)CC3)c2C)cc1,CYP2D6,-9.0,%,,Inhibition,0,False
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(C(=O)Nc2ccc(-c3ncn(C4CC4)n3)cc2)c1OC,CYP2D6,-9.0,%,,Inhibition,0,False
COc1ccccc1/C=N/NC(N)=S,CYP2D6,-8.91,%,,Inhibition,0,False
CCCCN[C@H]1CC[C@H](c2ccc(OCCCN3CCCCC3)cc2)CC1,CYP2D6,-8.9,%,,Inhibition,0,True
COc1cccc(/C=C/C(=O)c2ccccc2O)c1,CYP2D6,-8.4,%,,Inhibition,0,False
Cc1ccc(-c2noc(COc3ccc(CCC(=O)O)cc3)n2)cc1,CYP2D6,-8.3,%,,Inhibition,0,False
CN(C)OC(=O)C(c1ccc(Cl)c(Cl)c1)C1CCNCC1.Cl,CYP2D6,-8.1,%,,Inhibition,0,False
O=C(NCC(F)(F)F)c1cc(-c2cnc3[nH]c(-c4ccc(OCCN5CCOCC5)cc4)cc3c2)cs1,CYP2D6,-8.0,%,,Inhibition,0,False
COc1ccc2oc(-c3c[nH]c4ccccc34)c(O)c(=O)c2c1,CYP2D6,-8.0,%,,Inhibition,0,False
CC1CCN([C@H]2CC[C@@H](c3ccc(OCCCN4CCCCC4)cc3)CC2)CC1,CYP2D6,-7.8,%,,Inhibition,0,True
COc1ccc(C(CC(=O)N2CC(C)CC(C)C2)c2c(O)cc(OC)cc2OC)cc1,CYP2D6,-7.0,%,,Inhibition,0,False
NC(=S)N/N=C/c1ccc(N)cc1,CYP2D6,-6.6,%,,Inhibition,0,False
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1ccccc1C,CYP2D6,-6.0,%,,Inhibition,0,True
O=C(O)CC[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1,CYP2D6,-6.0,%,,Inhibition,0,True
CC(C)n1c(=O)ccc2cnc(N[C@H]3CC[C@H](O)CC3)nc21,CYP2D6,-6.0,%,,Inhibition,0,True
O=C(O)CCc1ccc(OCc2nc(-c3ccc(Cl)cc3)no2)cc1,CYP2D6,-5.8,%,,Inhibition,0,False
O=C(O)c1cccc(CNC(=O)c2ccc(-n3ccnc3)cc2)c1,CYP2D6,-5.8,%,,Inhibition,0,False
CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1,CYP2D6,-5.7,%,,Inhibition,0,False
O=C(O)CC[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(/C=C/c3c(F)cccc3Cl)ccc2O1,CYP2D6,-5.6,%,,Inhibition,0,True
O=S1(=O)CC2(OCCO2)c2cc3nccc(Nc4ccc5scnc5c4)c3cc21,CYP2D6,-5.26,%,,Inhibition,0,False
Cc1nc(CN2CCC[C@H]2c2ncccc2C)cc(N2CCN(C)CC2)n1,CYP2D6,-5.0,%,,Inhibition,0,True
Cc1nn(C)c2nc(N(C)CCN(C)C)c(C(=O)NC(=O)Nc3cccc(OC(C)C)c3)cc12.Cl,CYP2D6,-5.0,%,,Inhibition,0,False
CN1CCC(NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)CC1,CYP2D6,-5.0,%,,Inhibition,0,False
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,CYP2D6,-5.0,%,,Inhibition,0,True
O=C(CCCCN1CCCCC1)Nc1cc(-c2ccco2)n[nH]1,CYP2D6,-5.0,%,,Inhibition,0,False
Cn1c(Nc2c(F)cccc2Cl)nc2cc(C(=O)Nc3ccc(C(F)(F)F)cc3)c3c(c21)CC(C)(C)O3,CYP2D6,-5.0,%,,Inhibition,0,False
COc1ccc(-c2cc(NC(=O)CCCCN3CCNC(=O)C3)[nH]n2)cc1,CYP2D6,-5.0,%,,Inhibition,0,False
NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,CYP2D6,-5.0,%,,Inhibition,0,False
COc1ccc(-c2cc(NC(=O)CCCCN3CCCOCC3)[nH]n2)cc1,CYP2D6,-4.0,%,,Inhibition,0,False
COc1ccc(N(CCO)C(=O)Nc2ccc(-c3ncnc4[nH]cc(C)c34)cc2)cc1,CYP2D6,-4.0,%,,Inhibition,0,False
Cc1ccc(N(CCO)C(=O)Nc2ccc(-c3ncnc4[nH]cc(C)c34)cc2)cc1,CYP2D6,-4.0,%,,Inhibition,0,False
N#Cc1cc(-c2ccnc(Nc3ccc(-n4cnc(-c5ccccn5)n4)cc3)n2)cc(N2CCOCC2)c1,CYP2D6,-4.0,%,,Inhibition,0,False
COc1ccc(-c2cc(NC(=O)CCCCN3CCNC(=O)CC3)[nH]n2)cc1,CYP2D6,-4.0,%,,Inhibition,0,False
NC(=O)C1CCCc2c1[nH]c1ccccc21,CYP2D6,-4.0,%,,Inhibition,0,False
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CYP2D6,-4.0,%,,Inhibition,0,False
Nc1nccc(-c2ccc3nc(C4COc5ccccc5C4)oc3c2)n1,CYP2D6,-4.0,%,,Inhibition,0,False
COc1ccc(-c2cc(NC(=O)CCCCN3CCC(C)CC3)[nH]n2)cc1,CYP2D6,-4.0,%,,Inhibition,0,False
Cc1c2c(n3c1CCN(C(=O)[C@H](C)O)C[C@@H](C)[C@H](C)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O,CYP2D6,-4.0,%,,Inhibition,0,True
NC(=O)[C@@H]1C[C@H](F)CN1Cc1ccc2oc(-c3ccc(F)cc3)cc2c1,CYP2D6,-3.37,%,,Inhibition,0,True
NC(=S)N/N=C/c1ccc(O)cc1,CYP2D6,-3.36,%,,Inhibition,0,False
O=c1c(O)c(-c2csc3ccccc23)oc2cc(Cl)ccc12,CYP2D6,-3.33,%,,Inhibition,0,False
