smiles,target,value,units,pValue,assay_type,active,has_stereo
COc1cc(C(=O)NC(=N)Nc2ccc(C)c(NC(=O)c3ccc(CCc4ccccc4)cc3)c2)cc(OC)c1OC.Cl,CYP3A4,-92.0,%,,Inhibition,0,False
COc1cc(C(=O)NC(=N)Nc2ccc(C)c(NC(=O)c3ccc(-c4ccccc4)cc3)c2)cc(OC)c1OC.Cl,CYP3A4,-87.0,%,,Inhibition,0,False
COc1cc(C(=O)NC(=N)Nc2ccc(C)c(NC(=O)c3ccc(-c4ccc(F)cc4)cc3)c2)cc(OC)c1OC.Cl,CYP3A4,-82.0,%,,Inhibition,0,False
O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CYP3A4,-56.0,%,,Inhibition,0,False
C[C@@H](COc1cnc(-c2ccc(Oc3cccc(OCC4CC4)c3)cc2)o1)NC(N)=O,CYP3A4,-54.5,%,,Inhibition,0,True
Fc1cccc(-n2cnc3c(NCc4ccccc4F)nc(N4CCOCC4)nc32)c1,CYP3A4,-51.0,%,,Inhibition,0,False
CC(c1ccc(OC(F)(F)F)cc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,CYP3A4,-46.0,%,,Inhibition,0,False
NC(=O)[C@@H]1C[C@H](F)CN1Cc1ccc2oc(-c3ccc(F)cc3)cc2c1,CYP3A4,-45.23,%,,Inhibition,0,True
O=C(Nc1cnn(-c2csc(C(=O)NC3CC3)c2)c1)Nc1ccccc1Cl,CYP3A4,-45.0,%,,Inhibition,0,False
Fc1cccc(-n2cnc3c(NCc4nc5ccccc5o4)nc(N4CCOCC4)nc32)c1,CYP3A4,-38.0,%,,Inhibition,0,False
Fc1ccc2c(c1)c1c(n2CCCOc2ccc(Cl)cc2)CCNC1,CYP3A4,-35.0,%,,Inhibition,0,False
O=C(Nc1cnn(-c2csc(C(=O)NC3CCOCC3)c2)c1)Nc1ccccc1Cl,CYP3A4,-35.0,%,,Inhibition,0,False
CN1CCC(NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)CC1,CYP3A4,-34.0,%,,Inhibition,0,False
COc1ccccc1-c1cc(NC(=O)CCCCN2CCCCC2)[nH]n1,CYP3A4,-34.0,%,,Inhibition,0,False
O=C(Nc1cnn(-c2csc(C(=O)NC3COC3)c2)c1)Nc1ccccc1Cl,CYP3A4,-34.0,%,,Inhibition,0,False
Cc1cccc(CNc2nc(N3CCOCC3)nc3c2ncn3-c2cccc(F)c2)n1,CYP3A4,-31.0,%,,Inhibition,0,False
COc1cc(/C=N/NC(N)=S)cc(OC)c1OC,CYP3A4,-30.16,%,,Inhibition,0,False
O=C(O)CCc1ccc(OCc2nnc(C(=O)Nc3ccccc3F)s2)cc1,CYP3A4,-28.7,%,,Inhibition,0,False
CCc1ccc2nc(N3CCC(N[C@H]4CCCC[C@@H]4O)CC3)c(-c3nc(C)no3)cc2c1,CYP3A4,-28.0,%,,Inhibition,0,True
NC(=S)N/N=C/C(O)C(O)C(O)CO,CYP3A4,-27.85,%,,Inhibition,0,False
NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,CYP3A4,-26.0,%,,Inhibition,0,False
NC(=S)N/N=C/c1ccc(O)cc1,CYP3A4,-24.38,%,,Inhibition,0,False
COc1ccc(/C=N/NC(N)=S)cc1OC,CYP3A4,-24.36,%,,Inhibition,0,False
CC(NC(N)=O)c1ccc2nc(-c3ccc(Oc4cccc(OCC5CC5)c4)nc3)oc2c1,CYP3A4,-24.0,%,,Inhibition,0,False
COc1ccccc1/C=N/NC(N)=S,CYP3A4,-23.17,%,,Inhibition,0,False
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,CYP3A4,-23.0,%,,Inhibition,0,False
NC(=O)C1CCCc2c1[nH]c1ccccc21,CYP3A4,-22.0,%,,Inhibition,0,False
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)nc2)cc1,CYP3A4,-22.0,%,,Inhibition,0,False
CCc1ccc2nc(N3CCC(N[C@@H]4CCCOC4)CC3)c(-c3nc(C)no3)cc2c1,CYP3A4,-22.0,%,,Inhibition,0,True
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccccc2)nc1,CYP3A4,-21.0,%,,Inhibition,0,False
O=C(NCC(F)(F)F)c1cc(-c2cnc3[nH]c(-c4ccc(F)cc4)cc3c2)cs1,CYP3A4,-20.0,%,,Inhibition,0,False
O=C(Nc1cnn(-c2csc(C(=O)N[C@@H]3CCOC3)c2)c1)Nc1ccccc1Cl,CYP3A4,-20.0,%,,Inhibition,0,True
N/C(S)=N/N=C/c1cccc(Br)c1,CYP3A4,-19.8,%,,Inhibition,0,False
Cc1ccc2oc(-c3csc4ccccc34)c(O)c(=O)c2c1,CYP3A4,-19.34,%,,Inhibition,0,False
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)nc2)nc1,CYP3A4,-19.0,%,,Inhibition,0,False
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOc1cccc(C(F)(F)F)c1,CYP3A4,-18.5,%,,Inhibition,0,True
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CYP3A4,-18.4,%,,Inhibition,0,False
CN1CC[C@H](NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)C1,CYP3A4,-18.0,%,,Inhibition,0,True
Fc1cccc(-n2cnc3c(NCc4ccccn4)nc(N4CCOCC4)nc32)c1,CYP3A4,-17.0,%,,Inhibition,0,False
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccccc2F)cc1,CYP3A4,-17.0,%,,Inhibition,0,False
O=S1(=O)CCN(c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)CC1,CYP3A4,-17.0,%,,Inhibition,0,True
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C1CC1,CYP3A4,-17.0,%,,Inhibition,0,True
NC(=S)N/N=C/c1ccc(-c2ccccc2)cc1,CYP3A4,-16.14,%,,Inhibition,0,False
Cc1ccc2[nH]c3c(c2c1)CCCC3C(N)=O,CYP3A4,-16.0,%,,Inhibition,0,False
O=c1[nH]c2cc(Cl)c(Cl)cc2n1C1CCN(Cc2ccc(Br)cc2F)CC1,CYP3A4,-16.0,%,,Inhibition,0,False
O=C(Nc1cnn(-c2cccc(C(=O)Nc3cnn(C4CCNCC4)c3)c2)c1)Nc1ccccc1Cl,CYP3A4,-16.0,%,,Inhibition,0,False
CSc1ccc(/C=N/NC(N)=S)cc1,CYP3A4,-15.93,%,,Inhibition,0,False
COc1cccc(OC)c1/C=N/NC(N)=S,CYP3A4,-14.85,%,,Inhibition,0,False
CNC(=O)c1cc(-n2ncc3cc(Oc4ccccc4Cl)ccc32)cs1,CYP3A4,-14.0,%,,Inhibition,0,False
COc1ccc(-c2cc(NC(=O)CCCCN3CCCOCC3)[nH]n2)cc1,CYP3A4,-14.0,%,,Inhibition,0,False
NC(=S)N/N=C/c1ccccc1[N+](=O)[O-],CYP3A4,-13.86,%,,Inhibition,0,False
O=S1(=O)CC2(OCCO2)c2cc3nccc(Nc4ccc5scnc5c4)c3cc21,CYP3A4,-13.67,%,,Inhibition,0,False
NC(=S)N/N=C/c1ccc2ncccc2c1,CYP3A4,-13.52,%,,Inhibition,0,False
NC(=S)N/N=C/c1ccc(N)cc1,CYP3A4,-13.12,%,,Inhibition,0,False
NC(=S)N/N=C/C=C/c1ccccc1,CYP3A4,-13.08,%,,Inhibition,0,False
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)cc2)cc1,CYP3A4,-13.0,%,,Inhibition,0,False
