smiles,chembl_id,type,value_nM,pchembl,assay_type,pIC50,active,has_stereo
O=C(N[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1cccc2cc[nH]c12,CHEMBL4595328,IC50,0.021,10.68,T,10.68,1,True
Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,CHEMBL327980,IC50,0.029,10.54,T,10.54,1,False
Cc1cc2cccc(C(=O)N[C@H]3CC[C@@]4(O)[C@H]5Cc6ccc(O)c7c6[C@@]4(CCN5CC4CC4)[C@H]3O7)c2[nH]1.Cl,CHEMBL5432371,IC50,0.14,9.85,T,9.85,1,True
Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cc1,CHEMBL1257821,IC50,0.14,9.85,B,9.85,1,True
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCCc2ccccc2)c1,CHEMBL1257820,IC50,0.25,9.6,B,9.6,1,True
Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,CHEMBL1257578,IC50,0.26,9.59,B,9.59,1,True
CCCCCCCc1cccc(CCCCCCC)[n+]1C.O=S(=O)([O-])C(F)(F)F,CHEMBL3590463,Ki,0.28,9.55,A,9.55,1,False
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCc2ccccc2)c1,CHEMBL1257698,IC50,0.38,9.42,B,9.42,1,True
CS(=O)(=O)Nc1ccc(CCN(CCOc2ccc(NS(C)(=O)=O)cc2)c2ccc([N+](=O)[O-])c3nonc23)cc1,CHEMBL227134,Ki,0.39,9.41,B,9.41,1,False
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(C(F)(F)F)cnc56)(CC3)OC4)nc2N1,CHEMBL3422978,IC50,0.39,9.41,B,9.41,1,False
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,CHEMBL598270,Ki,0.4,9.4,B,9.4,1,False
COC1OC2(CCN(Cc3ccccc3)CC2)c2cnn(-c3ccccc3)c21,CHEMBL410832,IC50,0.41,9.39,B,9.39,1,False
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2cccs2)c1,CHEMBL1257577,IC50,0.43,9.37,B,9.37,1,True
Nc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,CHEMBL5858906,IC50,0.48,9.32,B,9.32,1,False
CC(F)(F)c1cc(-n2cc(Cn3ccnc3N)nn2)ccc1Cl,CHEMBL5794967,IC50,0.51,9.29,B,9.29,1,False
CC(F)(F)c1cc(-n2cc(Cn3ccnc3N)nn2)ccc1F,CHEMBL5870278,IC50,0.51,9.29,B,9.29,1,False
Nc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,CHEMBL6063759,IC50,0.52,9.28,B,9.28,1,False
Cc1cccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)c1,CHEMBL1257937,IC50,0.52,9.28,B,9.28,1,True
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccc3sccc3c2)cn1,CHEMBL1085090,Ki,0.55,9.26,B,9.26,1,True
CN1C[C@@H]2C[C@H]1CN2c1ncc(-c2ccc3sccc3c2)cn1,CHEMBL1085806,Ki,0.56,9.25,B,9.25,1,True
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccc3c(c2)OCO3)c1,CHEMBL1258280,IC50,0.62,9.21,B,9.21,1,True
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,CHEMBL1223951,IC50,0.61,9.21,B,9.21,1,True
Cc1ccccc1CN1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,CHEMBL1257938,IC50,0.62,9.21,B,9.21,1,True
Nc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,CHEMBL5956282,IC50,0.65,9.19,B,9.19,1,False
CCCCN1CCC2(CC1)OC(OC)c1c2cnn1-c1ccccc1,CHEMBL259732,IC50,0.65,9.19,B,9.19,1,False
O=c1cc(OCc2ccc3ccccc3c2)ccn1-c1ccc(OCCN2CCCC2)cc1,CHEMBL1642479,IC50,0.67,9.17,B,9.17,1,False
